,precision,recall,f1-score,support
Crack,0.9885057471264368,0.9555555555555556,0.9717514124293786,360.0
Normal,0.9466666666666667,0.9861111111111112,0.9659863945578231,360.0
Hole,0.9916897506925207,0.9944444444444445,0.9930651872399445,360.0
Scratch,1.0,0.9861111111111112,0.993006993006993,360.0
Rust,0.9882352941176471,0.9940828402366864,0.9911504424778761,169.0
accuracy,0.9819763828464885,0.9819763828464885,0.9819763828464885,0.9819763828464885
macro avg,0.9830194917206543,0.9832610124917818,0.9829920859424031,1609.0
weighted avg,0.9824003380489167,0.9819763828464885,0.9820236296973593,1609.0
